代號,名稱,年月日,100-200 張(比率),200-400 張(比率),400-600 張(比率),600-800 張(比率),800-1000張(比率),1000張以上  (比率)
1580,新麥,2023/01/13,6,3.29,0,1.39,5.02,28.59
1582,信錦,2023/01/13,5.6,4.07,3.05,1.13,0.66,31.84
1583,程泰,2023/01/13,0.88,0.46,0.82,0,0.79,91.93
1584,精剛,2023/01/13,4.57,3.28,1.52,0.92,3.5,47.82
1586,和勤,2023/01/13,6.16,5.35,6.37,4,5.33,48.01
1587,吉茂,2023/01/13,4.21,9.06,3.61,5.99,2.73,41.2
1589,永冠-KY,2023/01/13,6.09,6.89,4.27,3.7,2.5,37.29
1590,亞德客-KY,2023/01/13,6.05,8.1,8.59,2.5,4.89,60.24
1591,駿吉-KY,2023/01/13,8.22,6.39,6.94,0,2.35,41.65
1593,祺驊,2023/01/13,6.16,7.74,10.03,3.54,11.91,26.36
1595,川寶,2023/01/13,8.26,10.08,5.84,0,3.9,45.24
1597,直得,2023/01/13,5.85,7.89,5.84,2.23,2.88,43.93
1598,岱宇,2023/01/13,3.79,4.58,2.28,3.48,2.16,51.09
1599,宏佳騰,2023/01/13,2.87,1.53,1.8,1.74,3.55,62.5
1603,華電,2023/01/13,1.77,2.65,1.86,0,0.43,82.03
1604,聲寶,2023/01/13,3.99,4.63,3.54,1.97,0.49,53.64
1605,華新,2023/01/13,1.9,1.97,1.35,0.85,0.76,79.36
1608,華榮,2023/01/13,2.88,2.64,1.43,0.85,0.84,61.27
1609,大亞,2023/01/13,5.74,4,1.97,1.24,0.93,30.32
1611,中電,2023/01/13,3.15,3.88,3.1,1.77,3.42,46.7
1612,宏泰,2023/01/13,3.54,3.69,2.79,1.11,2.02,55.25
1614,三洋電,2023/01/13,3.98,5.41,3.09,2.73,1.95,75.11
1615,大山,2023/01/13,1.84,1.54,1.52,0.42,1.16,79.44
1616,億泰,2023/01/13,2.97,3.12,2.64,1.71,1.77,55.81
1617,榮星,2023/01/13,3.31,2.87,2.96,0,4.15,76.29
1618,合機,2023/01/13,3.55,3.9,2.53,3.09,0.49,59.08
