,年度,季別,公司代號,公司名稱,股本,股本分級
799,112,1,3593,力銘,930425,5
800,112,1,3594,磐儀,954394,5
801,112,1,3596,智易,2203543,3
802,112,1,3597,映興,391462,5
803,112,1,3605,宏致,1344177,4
804,112,1,3607,谷崧,1216622,4
805,112,1,3609,三一東林,352794,5
806,112,1,3611,鼎翰,425219,5
807,112,1,3615,安可,684670,5
808,112,1,3617,碩天,835008,5
809,112,1,3622,洋華,1513276,4
810,112,1,3623,富晶通,291859,5
811,112,1,3624,光頡,1173408,4
812,112,1,3625,西勝,1141314,4
813,112,1,3628,盈正,450000,5
814,112,1,3629,地心引力,330760,5
815,112,1,3630,新鉅科,1841919,4
816,112,1,3631,晟楠,818209,5
817,112,1,3632,研勤,408897,5
818,112,1,3645,達邁,1317990,4
819,112,1,3646,艾恩特,392974,5
820,112,1,3652,精聯,750975,5
821,112,1,3653,健策,1380872,4
822,112,1,3661,世芯-KY,723248,5
823,112,1,3663,鑫科,734980,5
824,112,1,3664,安瑞-KY,581228,5
825,112,1,3665,貿聯-KY,1565623,4
826,112,1,3666,光耀,586906,5
827,112,1,3669,圓展,929200,5
828,112,1,3672,康聯訊,317903,5
829,112,1,3673,TPK-KY,4066638,3
830,112,1,3675,德微,444283,5
831,112,1,3679,新至陞,630482,5
832,112,1,3680,家登,865882,5
833,112,1,3682,亞太電,43171964,1
834,112,1,3684,榮昌,245915,5
835,112,1,3685,元創精密,795740,5
836,112,1,3686,達能,764951,5
837,112,1,3687,歐買尬,300596,5
838,112,1,3689,湧德,772333,5
839,112,1,3691,碩禾,918834,5
840,112,1,3693,營邦,384907,5
841,112,1,3694,海華,1527388,4
842,112,1,3701,大眾控,2155835,3
843,112,1,3702,大聯大,18790568,1
844,112,1,3703,欣陸,8232160,2
845,112,1,3704,合勤控,4026205,3
846,112,1,3705,永信,2664230,3
847,112,1,3706,神達,12065568,1
848,112,1,3707,漢磊,3332062,3
849,112,1,3708,上緯投控,981322,5
850,112,1,3709,鑫聯大投控,1005695,4
851,112,1,3710,連展投控,2872507,3
852,112,1,3711,日月光投控,43739054,1
853,112,1,3712,永崴投控,2462421,3
854,112,1,3713,新晶投控,780900,5
855,112,1,3714,富采,7547840,2
856,112,1,3715,定穎投控,2775490,3
857,112,1,4102,永日,423735,5
858,112,1,4104,佳醫,1482064,4
859,112,1,4105,東洋,2486500,3
860,112,1,4106,雃博,1009116,4
861,112,1,4107,邦特,692983,5
862,112,1,4108,懷特,1986189,4
863,112,1,4109,加捷生醫,889367,5
864,112,1,4111,濟生,569830,5
865,112,1,4113,聯上,2111382,3
866,112,1,4114,健喬,3437007,3
867,112,1,4116,明基醫,445660,5
868,112,1,4119,旭富,953824,5
869,112,1,4120,友華,867471,5
870,112,1,4121,優盛,849291,5
871,112,1,4123,晟德,5947560,2
872,112,1,4126,太醫,726000,5
873,112,1,4127,天良,457600,5
874,112,1,4128,中天,5110972,2
875,112,1,4129,聯合,881116,5
876,112,1,4130,健亞,1093758,4
877,112,1,4131,晶宇,390000,5
878,112,1,4133,亞諾法,605536,5
879,112,1,4137,麗豐-KY,794924,5
880,112,1,4138,曜亞,300000,5
881,112,1,4139,馬光-KY,425499,5
882,112,1,4142,國光生,4295078,3
883,112,1,4147,中裕,2526680,3
884,112,1,4148,全宇生技-KY,640340,5
885,112,1,4153,鈺緯,617591,5
886,112,1,4154,樂威科-KY,357200,5
887,112,1,4155,訊映,1148692,4
888,112,1,4157,太景*-KY,20910,5
889,112,1,4160,創源,242470,5
890,112,1,4161,聿新科,524279,5
891,112,1,4162,智擎,1456858,4
892,112,1,4163,鐿鈦,482902,5
893,112,1,4164,承業醫,1637857,4
894,112,1,4167,松瑞藥,3172316,3
895,112,1,4168,醣聯,1086328,4
896,112,1,4171,瑞基,459660,5
897,112,1,4173,久裕,745744,5
898,112,1,4174,浩鼎,2294394,3
899,112,1,4175,杏一,373635,5
900,112,1,4183,福永生技,238000,5
901,112,1,4188,安克,532214,5
902,112,1,4190,佐登-KY,609077,5
903,112,1,4192,杏國,1150770,4
904,112,1,4198,欣大健康,221080,5
905,112,1,4205,中華食,887720,5
906,112,1,4207,環泰,1758684,4
907,112,1,4303,信立,675000,5
908,112,1,4304,勝昱,360380,5
909,112,1,4305,世坤,550140,5
910,112,1,4306,炎洲,6487307,2
911,112,1,4401,東隆興,1226920,4
912,112,1,4402,福大,459918,5
913,112,1,4406,新昕纖,519120,5
914,112,1,4413,飛寶企業,313147,5
915,112,1,4416,三圓,620238,5
916,112,1,4417,金洲,839713,5
917,112,1,4419,元勝,381631,5
918,112,1,4420,光明,404550,5
919,112,1,4426,利勤,1726773,4
920,112,1,4430,耀億,562736,5
921,112,1,4432,銘旺實,505890,5
922,112,1,4433,興采,612998,5
923,112,1,4438,廣越,1034255,4
